"Address","Occurrences","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","HTTP Canonical"
"https://sanatkaravani.com/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://sanatkaravani.com/",""
"https://sanatkaravani.com/wp-content/uploads/2022/01/emil-otto-hoppe-unveiling-a-secret-06-min-20x16.jpg","0","","","","",""
"https://sanatkaravani.com/wp-content/plugins/woocommerce/assets/js/sourcebuster/sourcebuster.min.js?ver=9.8.1","0","","","","",""
"https://sanatkaravani.com/category/mimari/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://sanatkaravani.com/category/mimari/",""
"https://sanatkaravani.com/fotografin-etnologu-ferdinando-scianna/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://sanatkaravani.com/fotografin-etnologu-ferdinando-scianna/",""
"https://sanatkaravani.com/bir-dansa-davet-manifestosu-korkutuk/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://sanatkaravani.com/bir-dansa-davet-manifestosu-korkutuk/",""
"https://sanatkaravani.com/cennetten-gelen-bir-ses-anneke/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://sanatkaravani.com/cennetten-gelen-bir-ses-anneke/",""
"https://sanatkaravani.com/wp-content/uploads/2021/07/ALPER-GITAR-sanat-karavani-ALPER-TUZCU-20x16.jpg","0","","","","",""
"https://sanatkaravani.com/mutlu-ask-yoktur-louis-aragon/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://sanatkaravani.com/mutlu-ask-yoktur-louis-aragon/",""
"https://sanatkaravani.com/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=9.8.1","0","","","","",""
"https://sanatkaravani.com/wp-content/uploads/2022/02/c056648c-61b2-448e-bca0-2b3e3127d859_387441_TABLET_LANDSCAPE_LARGE_16_9-1-20x16.jpg","0","","","","",""
"https://sanatkaravani.com/evrensel-ezgileriyle-genc-muzisyenlerin-ilham-kaynagi-alper-tuzcu/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://sanatkaravani.com/evrensel-ezgileriyle-genc-muzisyenlerin-ilham-kaynagi-alper-tuzcu/",""
"https://sanatkaravani.com/wp-content/uploads/2021/11/moyan-20x16.jpg","0","","","","",""
"https://sanatkaravani.com/wp-content/plugins/js_composer/assets/js/dist/js_composer_front.min.js?ver=6.11.0","0","","","","",""
"https://sanatkaravani.com/wp-content/uploads/2022/04/Gece-Yarisi-Kutuphanesi-1-20x12.jpg","0","","","","",""
"https://sanatkaravani.com/author/admin/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://sanatkaravani.com/author/admin/",""
"https://sanatkaravani.com/wp-content/plugins/wp-smushit/app/assets/js/smush-lazy-load.min.js?ver=3.18.0","0","","","","",""
"https://sanatkaravani.com/genis-genis-bir-deniz-jean-rhys/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://sanatkaravani.com/genis-genis-bir-deniz-jean-rhys/",""
"https://sanatkaravani.com/degisen-endustriyel-dunyayi-kadrajina-alan-fotografci-emil-otto-hoppe/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://sanatkaravani.com/degisen-endustriyel-dunyayi-kadrajina-alan-fotografci-emil-otto-hoppe/",""
"https://sanatkaravani.com/wp-content/uploads/2022/04/Gece-Yarisi-Kutuphanesi-1-20x20.jpg","0","","","","",""
"https://sanatkaravani.com/progresif-rockin-dahileri-dream-theather/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://sanatkaravani.com/progresif-rockin-dahileri-dream-theather/",""
"https://sanatkaravani.com/dunya-dillerini-sarkilarinda-bulusturan-sanatci-cigdem-aslan/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://sanatkaravani.com/dunya-dillerini-sarkilarinda-bulusturan-sanatci-cigdem-aslan/",""
"https://sanatkaravani.com/category/liste/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://sanatkaravani.com/category/liste/",""
"https://sanatkaravani.com/lanetlenmis-bir-sirk-bandosu-ghost/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://sanatkaravani.com/lanetlenmis-bir-sirk-bandosu-ghost/",""
"https://sanatkaravani.com/wp-content/themes/theissue/style.css?ver=1.6.9","0","","","","",""
"https://sanatkaravani.com/wp-content/uploads/2021/07/dream-theater1-20x16.jpg","0","","","","",""
"https://sanatkaravani.com/wp-content/uploads/2022/03/unnamed-min-1-20x12.jpg","0","","","","",""
"https://sanatkaravani.com/iletisim/","1","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://sanatkaravani.com/iletisim/",""
"https://sanatkaravani.com/wp-content/uploads/2021/12/28339-min-20x16.jpg","0","","","","",""
"https://sanatkaravani.com/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.7.0-wc.9.8.1","0","","","","",""
"https://sanatkaravani.com/wp-content/themes/theissue/assets/js/vendor.min.js?ver=1.6.9","0","","","","",""
